Encoding,Accuracy,File
1,0.0,hospital_encoding1.json
1,0.0,hospital_encoding1_2.json
2,0.0,hospital_encoding2.json
2,0.0,hospital_encoding2_1.json
2,0.0,hospital_encoding2_2.json
3,0.0,hospital_encoding3.json
3,0.0,hospital_encoding3_1.json
1,0.0,hospital_encoding1.json
1,0.0,hospital_encoding1_2.json
2,0.0,hospital_encoding2.json
2,0.0,hospital_encoding2_1.json
2,0.0,hospital_encoding2_2.json
3,0.0,hospital_encoding3.json
3,0.0,hospital_encoding3_1.json
1,0.0,hospital_encoding1.json
1,0.0,hospital_encoding1_2.json
2,0.0,hospital_encoding2.json
2,0.0,hospital_encoding2_1.json
2,0.0,hospital_encoding2_2.json
3,0.0,hospital_encoding3.json
3,0.0,hospital_encoding3_1.json
1,0.0,hospital_encoding1.json
1,0.0,hospital_encoding1_2.json
2,0.0,hospital_encoding2.json
2,0.0,hospital_encoding2_1.json
2,0.0,hospital_encoding2_2.json
3,0.0,hospital_encoding3.json
3,0.0,hospital_encoding3_1.json
